,category_id,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
132,MCO1039,Cámaras y Accesorios,451321,Aro De Luz 26 Cm Con Trípode Profesional 2 Metros De Altura,{'MCO577975745': 246115},41500,COP,5000,2020-08-19T14:10:12.000Z,Colombia,Bogotá D.C.,26,4.6,626158207
133,MCO1743,"Carros, Motos y Otros",45007,not found,not found,not found,not found,not found,not found,Colombia,not found,not found,not found,not found
134,MCO1051,Celulares y Teléfonos,1089239,Audífonos in-ear inalámbricos F9-5 negro,{'MCO16224063': 0},38350,COP,10673,2020-11-05T13:24:10Z,Colombia,Valle Del Cauca,Genérica,4.4,1066063779
135,MCO1648,Computación,910182,Disco sólido SSD interno Kingston SA400S37/240G 240GB negro,{'MCO19035706': 0},120000,COP,6603,2022-04-05T13:35:22Z,Colombia,Antioquia,Kingston,4.9,603582371
136,MCO1144,Consolas y Videojuegos,248479,Audífonos gamer Redragon Ares negro y rojo,{'MCO16056056': 0},46000,COP,4488,2020-09-01T15:10:26Z,Colombia,Bogotá D.C.,Redragon,4.9,178562922
137,MCO172890,Construcción,322796,Sonoff! Modulo Inteligente Y Controlador De Luces Y Tomas,{'MCO568121673': 191052},34900,COP,5000,2020-06-26T16:32:58.000Z,Colombia,Bogotá D.C.,Sonoff,4.8,213078376
138,MCO1276,Deportes y Fitness,1746323,Kit De Pesas Ejercicio Mancuernas Juego De Pesas Termoforrad,{'MCO610951513': 236263},169900,COP,500,2021-03-08T19:09:18.000Z,Colombia,Cundinamarca,Home Sale,4.3,118807519
139,MCO5726,Electrodomésticos,503411,"Ventilador Samurai Turbo Silence Maxx 3 en 1 turbo blanco con 6 aspas color  gris de  plástico, 18"" de diámetro 110 V",{'MCO19101758': 0},179900,COP,1230,2022-05-16T21:14:38Z,Colombia,Antioquia,Samurai,4.5,348553437
140,MCO1000,"Electrónica, Audio y Video",1061137,Google Chromecast 3.ª generación Full HD carbón,{'MCO13841393': 0},132900,COP,18639,2019-01-27T14:58:22Z,Colombia,Cundinamarca,Google,4.9,478332182
141,MCO175794,Herramientas,1350391,Hidrolavadora Black+Decker PW1450TD naranja/negro con 1512psi de presión máxima 127V,{'MCO18507736': 0},303800,COP,1716,2021-09-29T20:59:21Z,Colombia,Bogotá D.C.,Black+Decker,4.7,205607103
142,MCO1574,Hogar y Muebles,6144537,Dispensador Automático De Agua Para Botellón Recargable,{'MCO536523458': 312325},19900,COP,650,2019-10-03T18:42:24.000Z,Colombia,Bogotá D.C.,Generic,4.4,61678362
143,MCO1499,Industrias y Oficinas,424374,Tapabocas Kn95 Bolsa Individual - Unidad a $962,{'MCO808445031': 39588},19249,COP,1973,2021-09-15T04:35:11.000Z,Colombia,Bogotá D.C.,Adultos,4.9,523565962
144,MCO1459,Inmuebles,183661,not found,not found,not found,not found,not found,not found,Colombia,not found,not found,not found,not found
145,MCO1182,Instrumentos Musicales,343294,Guitarra Acústica+forro +método+pick De Rasgueo+envío Gratis,{'MCO562286973': 335566},145000,COP,500,2020-05-12T05:41:49.000Z,Colombia,Santander,No,4.8,528743523
146,MCO1132,Juegos y Juguetes,2815428,Cactus Bailarín Canta Y Imita La Voz Peluche Luces Niños,{'MCO822937587': 13848},38900,COP,5,2021-10-19T19:47:51.000Z,Colombia,Bogotá D.C.,Cactus,4.6,418664651
147,MCO3025,"Libros, Revistas y Comics",2218432,Uno Siempre Cambia El Amor De Su Vida - Amalia Andrade/nuevo,{'MCO881721209': 6220},15000,COP,200,2022-04-13T23:32:32.000Z,Colombia,Bogotá D.C.,No,0,540612729
148,MCO1168,"Música, Películas y Series",147646,Álbum Bts Proof Compact Edition 2022 Original + Póster Kpop,{'MCO912301103': 1258},167998,COP,5,2022-06-21T19:50:21.000Z,Colombia,Bogotá D.C.,1,0,263065566
149,MCO118204,"Recuerdos, Piñatería y Fiestas",700179,Inflador De Globos Electrico 600 Watts Doble Boquilla,{'MCO465527132': 118689},70000,COP,500,2018-03-02T16:37:29.000Z,Colombia,Bogotá D.C.,Picos adaptadores,4.7,60805616
150,MCO3937,Relojes y Joyas,1216696,Pulso Manilla Repuesto Original Xiaomi Mi Band 5 / 6,{'MCO837388524': 2582},4990,COP,295,2021-11-29T22:40:30.000Z,Colombia,Antioquia,Goma,4,263751079
151,MCO1430,Ropa y Accesorios,3110400,Crocs Literide Clog Hombre Y Dama,{'MCO865276202': 47992},72123,COP,1165,2022-03-01T15:22:14.000Z,Colombia,Valle Del Cauca,Adultos,4.8,534798942
152,MCO180800,Salud y Equipamiento Médico,567321,Tensiómetro Digital Brazo Presión Arteri Función Voz+estuche,{'MCO602901651': 64198},79900,COP,5000,2021-01-20T14:51:01.000Z,Colombia,Bogotá D.C.,De brazo,4.7,208307959
153,MCO1540,Servicios,2879,not found,not found,not found,not found,not found,not found,Colombia,not found,not found,not found,not found
154,MCO1953,Otras categorías,415989,Kit Tatuaje Tatuar Tattoo 2 Maquinas Profesionales,{'MCO549732944': 127708},279900,COP,500,2020-01-21T19:50:24.000Z,Colombia,Risaralda,3 días,4.9,284385084
155,MLA5725,Accesorios para Vehículos,7727903,Servicio De Envío Express De Telepase Mercado Pago,{'MLA899116906': 1114836},200,ARS,50000,2020-11-27T22:15:05.000Z,Argentina,Buenos Aires,Telepase,4.2,679055037
156,MLA1512,Agro,13853,Hilo Electroplastico 6 Hilos Acero 500m Alambrados Boyeros,{'MLA884231736': 30463},3299,ARS,500,2020-10-16T20:00:01.000Z,Argentina,Santa Fe,Electroplast,4.7,231646489
157,MLA1403,Alimentos y Bebidas,380653,Café au lait en cápsula Nescafé Dolce Gusto 16 u,{'MLA16167744': 0},899,ARS,94367,2020-10-15T14:11:24Z,Argentina,Buenos Aires,Nescafé Dolce Gusto,4.9,382204482
158,MLA1071,Animales y Mascotas,209499,Alimento Excellent Adult para gato adulto sabor pollo y arroz en bolsa de 7.5 kg,{'MLA8726956': 0},6500,ARS,33618,2017-12-06T20:18:54Z,Argentina,Buenos Aires,Purina,4.8,727704382
159,MLA1367,Antigüedades y Colecciones,506165,Cafetera Atma Desayuno CA8143 semi automática negra de filtro 220V,{'MLA15168895': 0},6649,ARS,6384,2019-10-02T19:30:38Z,Argentina,Capital Federal,Atma,4.6,4641264
160,MLA1368,"Arte, Librería y Mercería",488523,Kit 10 Resmas Pampa A4 70 G Papel Blanco Caja X10 U,{'MLA1123489347': 18295},9400,ARS,500,2022-02-14T15:29:59.000Z,Argentina,Capital Federal,Pampa,4.9,214988544
161,MLA1743,"Autos, Motos y Otros",181190,not found,not found,not found,not found,not found,not found,Argentina,not found,not found,not found,not found
162,MLA1384,Bebés,250253,Pañales Pampers Premium Care  XXG 54 u,{'MLA16172375': 0},2970,ARS,94051,2020-10-15T20:57:49Z,Argentina,Buenos Aires,Pampers,4.9,91560641
163,MLA1246,Belleza y Cuidado Personal,589870,Sérum L'oréal Paris Revitalift Ácido Hialurónico X 30ml,{'MLA1105967627': 402522},2185,ARS,5000,2021-09-29T21:55:02.000Z,Argentina,Buenos Aires,1,4.6,608885756
