,category,total_items_in_category,best_seller_product,total_visits,price,currency,sold,creation_date,country,state,brand,average_product_rating,seller_id
382,Construcción,264687,2 X Cabezal Ducha Teléfono Mango Filtro Ahorro Agua Purific,14287.0,6590.0,CLP,500.0,18-06-2021,Chile,RM (Metropolitana),VENDITO,4.3,1505006
383,Deportes y Fitness,1073132,Set De Mancuernas 20kg Barra Armable Ajustable Pesas Discos,8909.0,31950.0,CLP,500.0,05-12-2021,Chile,RM (Metropolitana),Sí,4.8,540856515
384,Electrodomésticos,209856,Bomba Dispensador Usb Agua Electrónico Recargable Botellón ,66226.0,3990.0,CLP,5000.0,19-05-2021,Chile,RM (Metropolitana),automatic,4.6,671377593
385,"Electrónica, Audio y Video",430419,Audífonos in-ear inalámbricos F9-5 negro,0.0,6510.0,CLP,44230.0,05-11-2020,Chile,RM (Metropolitana),Genérica,4.3,733822513
386,Entradas para Eventos,239,not found,0.0,0.0,not found,0.0,00-00-0000,Chile,not found,not found,0.0,not found
387,Herramientas,858908,Pistola De Calor Aire Caliente 2000w,323707.0,7792.0,CLP,5000.0,22-12-2017,Chile,RM (Metropolitana),Azul oscuro,4.7,217238942
388,Hogar y Muebles,3160285,Cámara Ip Con Movimiento Infrarrojo Impermeable Wifi Full Hd,230655.0,29490.0,CLP,5000.0,03-02-2020,Chile,RM (Metropolitana),Inalámbrico,4.4,480520521
389,Industrias y Oficinas,227934,Mascarilla Desechable Certificada 3 Capas Caja 50 Unidades ,690784.0,2990.0,CLP,103475.0,28-09-2020,Chile,Maule,0,4.4,579075469
390,Inmuebles,217967,not found,0.0,0.0,not found,0.0,00-00-0000,Chile,not found,not found,0.0,not found
391,Instrumentos Musicales,200186,Melodica 37 Tonos. Roja,2353.0,16990.0,CLP,250.0,29-09-2021,Chile,RM (Metropolitana),GEN,4.5,809231755
392,Juegos y Juguetes,1249873,Album Cartas Pokemon 240 Uni Carpeta Pikachu Charizard Etc,37763.0,8392.0,CLP,1942.0,18-02-2022,Chile,Maule,Pokémon,4.6,258636227
393,"Libros, Revistas y Comics",3468287,Propuesta Final De Nueva Constitucion Politica De Chile 2022,4317.0,2730.0,CLP,500.0,21-07-2022,Chile,RM (Metropolitana),NOINCLUYE,0.0,705626509
394,Música y Películas,298900,Twice Album Formula Of Love Version A Eleccion Original,5180.0,54990.0,CLP,45.0,07-04-2022,Chile,RM (Metropolitana),0,4.3,1098487086
395,Relojes y Joyas,743244,Reloj Despertador Pantalla Led Fecha Temperatura Alarma,8173.0,6640.0,CLP,500.0,22-09-2021,Chile,RM (Metropolitana),Pantalla Led,4.4,757379515
396,Salud y Equipamiento Médico,168535,Wild Bar - 16 Unidades - Proteina,39418.0,15000.0,CLP,2100.0,19-01-2021,Chile,RM (Metropolitana),0,5.0,325923184
397,Servicios,3681,not found,0.0,0.0,not found,0.0,00-00-0000,Chile,not found,not found,0.0,not found
398,"Souvenirs, Cotillón y Fiestas",372294,Inflador De Globos Eléctrico 2 Inyectores,78942.0,10990.0,CLP,5000.0,15-11-2019,Chile,RM (Metropolitana),0,4.7,288549222
399,Vestuario y Calzado,2911778,Polera Hellfire Club Stranger Things Raglan Algodón Grafimax,11749.0,18990.0,CLP,675.0,16-07-2022,Chile,RM (Metropolitana),Grafimax,5.0,52678700
400,Otras Categorías,66882,Velas Lisas Esotéricas Pack 10un / Premierhouz,12370.0,2790.0,CLP,4403.0,22-06-2021,Chile,RM (Metropolitana),0,4.8,716971357
401,Accesorios para Vehículos,102662,Kit Foco Led Luz Canbus H4 Lupa Proyector Premium Alta Baja,1351.0,162.9,PEN,25.0,14-02-2022,Perú,Lima Metropolitana,IR100-,0.0,212937453
402,Agro,7010,not found,0.0,0.0,not found,0.0,00-00-0000,Perú,not found,not found,0.0,not found
403,Alimentos y Bebidas,13076,not found,0.0,0.0,not found,0.0,00-00-0000,Perú,not found,not found,0.0,not found
404,Animales y Mascotas,20078,"Kit Maquina De Cortar Pelo Mascotas,perros,gatos Recargable",2485.0,75.99,PEN,100.0,28-09-2021,Perú,Lima Metropolitana,1,5.0,274620813
405,Antigüedades y Colecciones,234288,Álbum Monedas Colección Riqueza Y Orgullo Y Fauna Silvestre,5766.0,9.5,PEN,50.0,23-09-2020,Perú,Lima Metropolitana,0,0.0,158905694
406,"Arte, Librería y Mercería",21399,Crayola Supertips 100 Plumones Lavables - Niños Y Jóvenes,5444.0,128.25,PEN,100.0,12-07-2021,Perú,Lima Metropolitana,Crayola,5.0,39657735
407,"Autos, Motos y Otros",966,not found,0.0,0.0,not found,0.0,00-00-0000,Perú,not found,not found,0.0,not found
408,Bebés,19433,Extractor Zimeitu Leche Materna Eléctrico Doble Bpa Free ,8857.0,189.99,PEN,100.0,22-07-2019,Perú,Lima Metropolitana,Zimeitu,5.0,150193899
409,Belleza y Cuidado Personal,64931,Biotin Biotina Cabello Barba,23187.0,55.0,PEN,500.0,29-08-2020,Perú,Lima Metropolitana,Nutricost,4.9,37004418
410,Cámaras y Accesorios,15709,Trípode 3120 Cámara Y Celular Hasta 1020mm Alto Alumino,6600.0,19.49,PEN,150.0,31-10-2020,Perú,Lima Metropolitana,Genérica,4.7,468096646
411,Celulares y Teléfonos,105128,Xiaomi Redmi Note 11 4gb-128gb Original - Tienda Oficial,55496.0,819.0,PEN,605.0,27-01-2022,Perú,Lima Metropolitana,Cargador,4.8,399620474
412,Computación,163599,Apple iPad Wi-fi 64 Gb (9ª Generación),26352.0,1499.0,PEN,300.0,14-10-2021,Perú,Lima Metropolitana,10 h,5.0,766642543
413,Consolas y Videojuegos,23608,Steam Silver Key | Juego Aleatorio - Entrega Inmediata,3268.0,2.0,PEN,500.0,05-08-2021,Perú,La Libertad,Steam,5.0,802866139
414,Construcción,33830,not found,0.0,0.0,not found,0.0,00-00-0000,Perú,not found,not found,0.0,not found
415,Deportes y Fitness,50964,Creabolic 1 Kilo Creatina Monohidratada+regalo Tienda Fisica,1718.0,169.0,PEN,100.0,14-03-2022,Perú,Lima Metropolitana,0,0.0,648484812
416,Electrodomésticos,19414,Jarra Cafetera Tipo Oster 12 Tazas,3644.0,58.5,PEN,50.0,14-09-2020,Perú,Lima Metropolitana,Oster,0.0,599620245
